date,股價,開盤價,收盤價,最高價,最低價,成交張數,成交筆數,成交金額,成交均張,漲跌幅,買進_外陸資買進股數(不含外資自營商),賣出_外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),買進_投信買進股數,賣出_投信賣出股數,投信買賣超股數,買進_自營商買進股數(自行買賣+避險),賣出_自營商賣出股數(自行買賣+避險),自營商買賣超股數,三大法人買進股數,三大法人賣出股數,三大法人買賣超股數,累計_買進_外陸資買進股數(不含外資自營商),累計_賣出_外陸資賣出股數(不含外資自營商),累計_外陸資買賣超股數(不含外資自營商),累計_買進_投信買進股數,累計_賣出_投信賣出股數,累計_投信買賣超股數,累計_買進_自營商買進股數(自行買賣+避險),累計_賣出_自營商賣出股數(自行買賣+避險),累計_自營商買賣超股數,累計_三大法人買進股數,累計_三大法人賣出股數,累計_三大法人買賣超股數,融資_融資買進(張),融資_融資賣出(張),融資_融資現金償還(張),融資_增減(張),融資_融資今日餘額(張),融券_融券買進(張),融券_融券賣出(張),融券_融券償還(張),融券_增減(張),融券_融券今日餘額(張),資券互抵(張),累計_融資_融資買進(張),累計_融資_融資賣出(張),累計_融資_增減(張),累計_融券_融券買進(張),累計_融券_融券賣出(張),累計_融券_增減(張),借券賣出_當日賣出,借券賣出_當日還券,借券賣出_當日調整,借券賣出_增減,借券賣出_當日餘額,借券賣出_次一營業日可限額,累計_借券賣出_當日賣出,累計_借券賣出_當日還券,累計_借券賣出_增減,1-999(股),"1,000-5,000(股)","5,001-10,000(股)","10,001-15,000(股)","15,001-20,000(股)","20,001-30,000(股)","30,001-40,000(股)","40,001-50,000(股)","50,001-100,000(股)","100,001-200,000(股)","200,001-400,000(股)","400,001-600,000(股)","600,001-800,000(股)","800,001-1,000,000(股)","1,000,001(股)以上"
2018-01-02,291.5,293.0,291.5,293.5,289.0,2537.0,2170.0,737884500.0,1.17,-2.5,621699.0,775430.0,-153731.0,30000.0,16000.0,14000.0,101000.0,75000.0,26000.0,752699.0,866430.0,-113731.0,621699.0,775430.0,-153731.0,30000.0,16000.0,14000.0,101000.0,75000.0,26000.0,752699.0,866430.0,-113731.0,318.0,134.0,5.0,179.0,8383.0,115.0,14.0,0.0,-101.0,1533.0,0.0,318.0,134.0,179.0,115.0,14.0,-101.0,13000.0,0.0,0.0,13000.0,6411478.0,1703943.0,13000.0,0.0,13000.0,,,,,,,,,,,,,,,
2018-01-03,300.5,295.0,300.5,302.5,295.0,8197.0,5380.0,2457754182.0,1.52,9.0,4334846.0,3032100.0,1302746.0,45000.0,5000.0,40000.0,415054.0,95000.0,320054.0,4794900.0,3132100.0,1662800.0,4956545.0,3807530.0,1149015.0,75000.0,21000.0,54000.0,516054.0,170000.0,346054.0,5547599.0,3998530.0,1549069.0,416.0,635.0,3.0,-222.0,8161.0,86.0,111.0,2.0,23.0,1556.0,10.0,734.0,769.0,-43.0,201.0,125.0,-78.0,38000.0,0.0,0.0,38000.0,6449478.0,1723253.0,51000.0,0.0,51000.0,,,,,,,,,,,,,,,
2018-01-04,307.0,301.0,307.0,307.0,298.0,6783.0,4411.0,2045161886.0,1.54,6.5,4989516.0,3038321.0,1951195.0,15000.0,18000.0,-3000.0,147726.0,250000.0,-102274.0,5152242.0,3306321.0,1845921.0,9946061.0,6845851.0,3100210.0,90000.0,39000.0,51000.0,663780.0,420000.0,243780.0,10699841.0,7304851.0,3394990.0,174.0,319.0,0.0,-145.0,8016.0,68.0,85.0,0.0,17.0,1573.0,3.0,908.0,1088.0,-188.0,269.0,210.0,-61.0,298000.0,200000.0,0.0,98000.0,6547478.0,1716805.0,349000.0,200000.0,149000.0,,,,,,,,,,,,,,,
2018-01-05,300.0,310.0,300.0,310.0,297.0,4965.0,4032.0,1497589301.0,1.23,-7.0,2219232.0,1926528.0,292704.0,10000.0,4000.0,6000.0,161000.0,111000.0,50000.0,2390232.0,2041528.0,348704.0,12165293.0,8772379.0,3392914.0,100000.0,43000.0,57000.0,824780.0,531000.0,293780.0,13090073.0,9346379.0,3743694.0,448.0,158.0,1.0,289.0,8305.0,73.0,18.0,1.0,-56.0,1517.0,3.0,1356.0,1246.0,101.0,342.0,228.0,-117.0,108000.0,53000.0,0.0,55000.0,6602478.0,1725279.0,457000.0,253000.0,204000.0,0.24,4.19,1.73,0.91,0.69,1.05,0.63,0.54,1.94,2.6,3.43,2.98,2.74,2.42,73.84
2018-01-08,298.0,304.0,298.0,306.0,296.0,4142.0,3354.0,1246085238.0,1.23,-2.0,2508200.0,857000.0,1651200.0,53000.0,10000.0,43000.0,161000.0,64000.0,97000.0,2722200.0,931000.0,1791200.0,14673493.0,9629379.0,5044114.0,153000.0,53000.0,100000.0,985780.0,595000.0,390780.0,15812273.0,10277379.0,5534894.0,211.0,209.0,3.0,-1.0,8304.0,36.0,61.0,0.0,25.0,1542.0,10.0,1567.0,1455.0,100.0,378.0,289.0,-92.0,39000.0,0.0,0.0,39000.0,6641478.0,1734315.0,496000.0,253000.0,243000.0,0.24,4.19,1.73,0.91,0.69,1.05,0.63,0.54,1.94,2.6,3.43,2.98,2.74,2.42,73.84
2018-01-09,304.0,297.0,304.0,304.0,296.0,5147.0,3812.0,1554053895.0,1.35,6.0,2475348.0,943683.0,1531665.0,21000.0,19000.0,2000.0,265000.0,176000.0,89000.0,2761348.0,1138683.0,1622665.0,17148841.0,10573062.0,6575779.0,174000.0,72000.0,102000.0,1250780.0,771000.0,479780.0,18573621.0,11416062.0,7157559.0,339.0,573.0,9.0,-243.0,8061.0,35.0,102.0,1.0,66.0,1608.0,12.0,1906.0,2028.0,-143.0,413.0,391.0,-26.0,37000.0,0.0,0.0,37000.0,6678478.0,1746594.0,533000.0,253000.0,280000.0,0.24,4.19,1.73,0.91,0.69,1.05,0.63,0.54,1.94,2.6,3.43,2.98,2.74,2.42,73.84
2018-01-10,309.5,304.5,309.5,311.0,302.0,6851.0,5020.0,2102171284.0,1.36,5.5,3373237.0,1574270.0,1798967.0,125000.0,4000.0,121000.0,490000.0,172000.0,318000.0,3988237.0,1750270.0,2237967.0,20522078.0,12147332.0,8374746.0,299000.0,76000.0,223000.0,1740780.0,943000.0,797780.0,22561858.0,13166332.0,9395526.0,277.0,547.0,0.0,-270.0,7791.0,77.0,194.0,0.0,117.0,1725.0,72.0,2183.0,2575.0,-413.0,490.0,585.0,91.0,118000.0,0.0,0.0,118000.0,6796478.0,1740504.0,651000.0,253000.0,398000.0,0.24,4.19,1.73,0.91,0.69,1.05,0.63,0.54,1.94,2.6,3.43,2.98,2.74,2.42,73.84
2018-01-11,306.0,309.5,306.0,309.5,302.5,3775.0,2780.0,1151503406.0,1.36,-3.5,1600400.0,1869775.0,-269375.0,26000.0,33000.0,-7000.0,35000.0,510000.0,-475000.0,1661400.0,2412775.0,-751375.0,22122478.0,14017107.0,8105371.0,325000.0,109000.0,216000.0,1775780.0,1453000.0,322780.0,24223258.0,15579107.0,8644151.0,256.0,128.0,1.0,127.0,7918.0,74.0,64.0,1.0,-11.0,1714.0,9.0,2439.0,2703.0,-286.0,564.0,649.0,80.0,306000.0,274000.0,0.0,32000.0,6828478.0,1733044.0,957000.0,527000.0,430000.0,0.24,4.19,1.73,0.91,0.69,1.05,0.63,0.54,1.94,2.6,3.43,2.98,2.74,2.42,73.84
2018-01-12,309.5,309.0,309.5,311.5,307.0,5579.0,2920.0,1729514122.0,1.91,3.5,2739000.0,2118608.0,620392.0,22000.0,0.0,22000.0,180000.0,124000.0,56000.0,2941000.0,2242608.0,698392.0,24861478.0,16135715.0,8725763.0,347000.0,109000.0,238000.0,1955780.0,1577000.0,378780.0,27164258.0,17821715.0,9342543.0,158.0,309.0,5.0,-156.0,7762.0,64.0,75.0,1.0,10.0,1724.0,1.0,2597.0,3012.0,-442.0,628.0,724.0,90.0,62000.0,0.0,0.0,62000.0,6890478.0,1683510.0,1019000.0,527000.0,492000.0,0.24,4.1,1.72,0.89,0.68,1.04,0.62,0.53,1.99,2.54,3.53,2.99,2.56,2.47,74.02
2018-01-15,313.0,312.0,313.0,313.0,308.5,4350.0,3003.0,1356536168.0,1.45,3.5,2439000.0,1975021.0,463979.0,210000.0,1000.0,209000.0,173000.0,100000.0,73000.0,2822000.0,2076021.0,745979.0,27300478.0,18110736.0,9189742.0,557000.0,110000.0,447000.0,2128780.0,1677000.0,451780.0,29986258.0,19897736.0,10088522.0,131.0,262.0,2.0,-133.0,7629.0,38.0,61.0,0.0,23.0,1747.0,0.0,2728.0,3274.0,-575.0,666.0,785.0,113.0,27000.0,0.0,0.0,27000.0,6917478.0,1646459.0,1046000.0,527000.0,519000.0,0.24,4.1,1.72,0.89,0.68,1.04,0.62,0.53,1.99,2.54,3.53,2.99,2.56,2.47,74.02
